"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test checks if the slider moves to the next image and returns to the first image correctly.","2279","Test Slider Functionality","","Mon Sep 23 18:01:17 AMT 2024","passed","Mon Sep 23 18:01:19 AMT 2024","","Slider Functionality Tests","",""
"This test adds a product to the cart, verifies the success message, and checks if the correct product is in the cart.","1809","Test Add to Cart Functionality","","Mon Sep 23 18:01:15 AMT 2024","passed","Mon Sep 23 18:01:17 AMT 2024","","Add to Cart Tests","",""
"This test searches for a product and verifies that the correct items are listed in the search results.","2130","Test Product Search","","Mon Sep 23 18:01:13 AMT 2024","passed","Mon Sep 23 18:01:15 AMT 2024","","Search Tests","",""
"This test verifies that each bottom menu link navigates to the correct page and displays the correct heading.","7717","Test Bottom Menu Navigation","","Mon Sep 23 18:01:23 AMT 2024","passed","Mon Sep 23 18:01:31 AMT 2024","","Bottom Menu Tests","",""
"Verifies that each menu item on the homepage navigates to the correct page and displays the correct heading.","9407","Test Menu Item Navigation","","Mon Sep 23 18:00:56 AMT 2024","passed","Mon Sep 23 18:01:05 AMT 2024","","UI Tests","",""
"This test adds an item to the wishlist, verifies the success message, and checks the wishlist contents.","1961","Test Adding Item to Wishlist","","Mon Sep 23 18:01:21 AMT 2024","passed","Mon Sep 23 18:01:23 AMT 2024","","Wishlist Functionality Tests","",""
"This test checks if the nested menu navigation works correctly by verifying the page heading for each menu.","1835","Test Nested Menus","","Mon Sep 23 18:01:07 AMT 2024","passed","Mon Sep 23 18:01:09 AMT 2024","","Nested Menu Tests","",""
"This test checks if the nested menu navigation works correctly by verifying the page heading for each menu.","1994","Test Nested Menus","","Mon Sep 23 18:01:05 AMT 2024","passed","Mon Sep 23 18:01:07 AMT 2024","","Nested Menu Tests","",""
"This test checks if the nested menu navigation works correctly by verifying the page heading for each menu.","1654","Test Nested Menus","","Mon Sep 23 18:01:09 AMT 2024","passed","Mon Sep 23 18:01:11 AMT 2024","","Nested Menu Tests","",""
"This test checks if the nested menu navigation works correctly by verifying the page heading for each menu.","1900","Test Nested Menus","","Mon Sep 23 18:01:11 AMT 2024","passed","Mon Sep 23 18:01:13 AMT 2024","","Nested Menu Tests","",""
